constructorStandingsId,raceId,constructorId,points,position,positionText,wins
26722,968,131,765,1,1,19
26711,967,131,722,1,1,18
26700,966,131,679,1,1,17
26129,918,131,701,1,1,16
26426,945,131,703,1,1,16
26689,965,131,636,1,1,16
6297,106,6,254,1,1,15
6307,107,6,262,1,1,15
5971,140,6,221,1,1,15
9422,387,1,199,1,1,15
26118,917,131,651,1,1,15
26405,944,131,660,1,1,15
26634,964,131,593,1,1,15
27453,1030,131,739,1,1,15
6287,105,6,244,1,1,14
5960,139,6,205,1,1,14
9404,386,1,184,1,1,14
26107,916,131,608,1,1,14
26395,943,131,617,1,1,14
26612,962,131,538,1,1,14
26623,963,131,553,1,1,14
27433,1028,131,695,1,1,14
27443,1029,131,701,1,1,14
6277,104,6,234,1,1,13
5949,138,6,189,1,1,13
9386,385,1,169,1,1,13
25346,899,9,596,1,1,13
26096,915,131,565,1,1,13
26385,942,131,574,1,1,13
26601,961,131,498,1,1,13
27423,1027,131,652,1,1,13
27633,1045,131,533,1,1,13
27643,1046,131,540,1,1,13
27653,1047,131,573,1,1,13
6257,102,6,202,1,1,12
6267,103,6,216,1,1,12
5938,137,6,173,1,1,12
2580,239,3,175,1,1,12
9368,384,1,157,1,1,12
10467,451,1,143.5,1,1,12
24754,859,9,650,1,1,12
25335,898,9,553,1,1,12
26085,914,131,522,1,1,12
26375,941,131,531,1,1,12
26590,960,131,455,1,1,12
26924,988,131,668,1,1,12
27413,1026,131,612,1,1,12
27623,1044,131,504,1,1,12
6247,101,6,184,1,1,11
5927,136,6,157,1,1,11
2569,238,3,165,1,1,11
5224,255,22,147,1,1,11
5237,256,22,147,1,1,11
9332,382,1,147,1,1,11
9350,383,1,147,1,1,11
10452,450,1,128.5,1,1,11
24730,857,9,595,1,1,11
24742,858,9,607,1,1,11
25324,897,9,513,1,1,11
26074,913,131,479,1,1,11
26290,940,131,506,1,1,11
26579,959,131,415,1,1,11
26894,985,131,575,1,1,11
26904,986,131,595,1,1,11
26914,987,131,625,1,1,11
27174,1009,131,655,1,1,11
27383,1025,131,571,1,1,11
27613,1043,131,479,1,1,11
735,88,1,174,2,2,10
745,89,1,182,2,2,10
6237,100,6,174,1,1,10
5916,135,6,141,1,1,10
1622,174,6,170,1,1,10
2536,235,3,141,1,1,10
2547,236,3,149,1,1,10
2558,237,3,149,1,1,10
5211,254,22,133,1,1,10
4780,285,3,139,1,1,10
4793,286,3,149,1,1,10
4806,287,3,158,1,1,10
4819,288,3,168,1,1,10
3468,303,3,164,1,1,10
3483,304,3,164,1,1,10
9033,369,1,141,1,1,10
9133,371,1,141,1,1,10
9113,370,1,141,1,1,10
9314,381,1,132,1,1,10
10437,449,1,116.5,1,1,10
24718,856,9,558,1,1,10
25313,896,9,470,1,1,10
26063,912,131,454,1,1,10
26260,938,131,451,1,1,10
26270,939,131,463,1,1,10
26568,958,131,378,1,1,10
26884,984,131,540,1,1,10
27164,1008,131,620,1,1,10
27343,1021,131,438,1,1,10
27353,1022,131,471,1,1,10
27363,1023,131,505,1,1,10
27373,1024,131,527,1,1,10
27603,1042,131,435,1,1,10
6508,70,6,201,2,2,9
725,87,1,164,1,1,9
6227,99,6,158,1,1,9
5905,134,6,128,1,1,9
5789,157,6,179,1,1,9
1611,173,6,156,1,1,9
2212,206,1,156,1,1,9
2525,234,3,125,1,1,9
5198,253,22,122,1,1,9
4767,284,3,129,1,1,9
3453,302,3,154,1,1,9
25909,52,6,204,1,1,9
8993,367,1,122,1,1,9
9013,368,1,128,1,1,9
9296,380,1,117,1,1,9
9637,401,3,137,1,1,9
9653,402,3,137,1,1,9
9669,403,3,137,1,1,9
9867,417,3,130,1,1,9
9881,418,3,135,1,1,9
9895,419,3,141,1,1,9
10407,448,1,107.5,1,1,9
24498,355,9,498,1,1,9
24694,854,9,491,1,1,9
24706,855,9,518,1,1,9
25302,895,9,445,1,1,9
26030,909,131,366,1,1,9
26041,910,131,393,1,1,9
26052,911,131,411,1,1,9
26250,937,131,426,1,1,9
26546,957,131,335,1,1,9
26864,982,131,475,1,1,9
26874,983,131,503,1,1,9
27124,1005,131,538,1,1,9
27144,1006,131,563,1,1,9
27154,1007,131,585,1,1,9
27313,1019,131,407,1,1,9
27333,1020,131,409,1,1,9
27593,1041,131,391,1,1,9
188,35,6,172,1,1,8
25888,50,1,202,11,NA,8
25899,51,1,210,11,NA,8
25910,52,1,118,11,NA,8
6484,68,6,178,2,2,8
6496,69,6,186,2,2,8
6495,69,4,195,1,1,8
6507,70,4,206,1,1,8
715,86,1,146,2,2,8
741,89,4,191,1,1,8
6217,98,6,142,1,1,8
6130,123,6,158,1,1,8
5894,133,6,118,1,1,8
5756,154,6,152,1,1,8
5767,155,6,161,1,1,8
5778,156,6,167,1,1,8
1600,172,6,143,1,1,8
2201,205,1,142,1,1,8
25468,221,3,112,1,1,8
25480,222,3,118,1,1,8
25492,223,3,123,1,1,8
2514,233,3,111,1,1,8
5172,251,22,104,1,1,8
5185,252,22,110,1,1,8
25695,270,22,97,1,1,8
25709,271,22,103,2,2,8
25499,272,22,103,2,2,8
4754,283,3,115,1,1,8
3393,298,3,126,1,1,8
3408,299,3,132,1,1,8
3423,300,3,142,1,1,8
3438,301,3,144,1,1,8
25898,51,6,186,1,1,8
8513,320,1,139,1,1,8
8722,13,23,146,1,1,8
8732,14,23,153,1,1,8
8752,15,23,156,1,1,8
8762,16,23,161,1,1,8
8973,366,1,113,1,1,8
9278,379,1,102,1,1,8
9621,400,3,122,1,1,8
9853,416,3,117,1,1,8
10392,447,1,92.5,1,1,8
23665,539,32,85,1,1,8
23684,540,32,86,1,1,8
23703,541,32,86,1,1,8
23722,542,32,86,1,1,8
13918,17,23,172,1,1,8
24486,354,9,469,1,1,8
24682,853,9,451,1,1,8
25291,894,9,402,1,1,8
26019,908,131,326,1,1,8
26219,934,131,371,1,1,8
26229,936,131,383,1,1,8
26535,956,131,295,1,1,8
26854,981,131,435,1,1,8
27114,1004,131,495,1,1,8
27303,1018,131,363,1,1,8
27293,1017,131,338,1,1,8
27583,1040,131,366,1,1,8
27834,1064,9,332.5,2,2,8
133,30,6,131,1,1,7
144,31,6,134,1,1,7
155,32,6,134,2,2,7
166,33,6,142,1,1,7
1638,34,6,156,1,1,7
25866,48,1,166,11,NA,7
25877,49,1,192,11,NA,7
6405,61,4,121,1,1,7
6416,62,4,131,1,1,7
6427,63,4,142,1,1,7
6438,64,4,149,1,1,7
6449,65,4,149,1,1,7
6460,66,4,160,1,1,7
6472,67,6,168,1,1,7
6471,67,4,165,2,2,7
6483,68,4,179,1,1,7
671,82,4,117,1,1,7
681,83,4,117,1,1,7
691,84,4,130,1,1,7
701,85,4,144,1,1,7
705,85,1,136,2,2,7
711,86,4,152,1,1,7
721,87,4,162,2,2,7
731,88,4,176,1,1,7
6207,97,6,124,1,1,7
6120,122,6,147,1,1,7
5883,132,6,102,1,1,7
5745,153,6,140,1,1,7
1586,170,1,135,1,1,7
1589,171,6,127,2,2,7
1597,171,1,141,1,1,7
1608,172,1,143,2,2,7
1619,173,1,153,2,2,7
1630,174,1,162,2,2,7
5609,190,1,124,2,2,7
2157,201,1,118,1,1,7
2168,202,1,125,1,1,7
2179,203,1,125,1,1,7
2190,204,1,128,1,1,7
25456,220,3,98,1,1,7
2503,232,3,101,1,1,7
5159,250,22,94,1,1,7
25639,266,22,81,1,1,7
25653,267,22,85,1,1,7
25667,268,22,85,1,1,7
25681,269,22,87,2,2,7
25500,272,3,118,1,1,7
4741,282,3,105,1,1,7
3378,297,3,116,1,1,7
8486,318,3,117,1,1,7
8505,319,3,121,2,2,7
8524,320,3,125,2,2,7
25876,49,6,161,1,1,7
25887,50,6,170,1,1,7
